file,code,offset,before_after_hex
kigyo.dat,1308,2038904,00 00 00 7A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1308,2038959,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1308,2039234,00 00 00 00 06 32 30 31 33 2F 30 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 44 48 00 00 52 03 00 00 B0 04 00 00 44 02 00 00 00 00 00 00 00
kigyo.dat,1308,2110651,01 00 00 DE 01 00 00 0A 01 00 00 87 29 5C 8F C2 08 00 00 00 00 00 00 06 31 33 30 38 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 B9 6C
kigyo.dat,1308,2166414,00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 33 30 38 00 00 00 26 1D 00 00 03 02 00 00 0D 02 00 00 33 01 00 00 87 66 66 66 66
kigyo.dat,1001,252061,00 00 00 61 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 CC 7D 00 00 0F 08 00 00 10 08 00 00 25 03 00 00 8D 0A D7 A3 1A
kigyo.dat,1001,252391,00 00 00 00 06 30 39 30 33 30 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 89 85 00 00 B4 08 00 00 AC 08 00 00 88 03 00 00 8D D7 A3 70 CD
kigyo.dat,1001,252556,00 00 00 00 06 32 30 31 31 94 4E 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,305721,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,306051,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,767570,C0 FD FF CB 6C FD FF 4A 45 FD FF 8B B8 1E 85 A3 A8 00 00 00 00 00 00 06 31 30 30 31 32 38 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 33 00 00 00 09 20
kigyo.dat,1001,1250250,00 92 18 00 00 00 00 00 00 00 00 86 00 00 00 00 08 00 00 00 00 00 00 04 31 30 30 31 00 00 00 72 35 01 00 FB 0B 00 00 7F 08 00 00 55 0D 00 00 00 00 00 00 00
kigyo.dat,1001,1250580,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 87 3B 01 00 DA 0B 00 00 59 08 00 00 2E 0D 00 00 87 3D 0A D7 A3
kigyo.dat,1001,1250855,00 00 00 00 06 32 30 31 33 2F 30 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,1982392,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 31 30 30 31 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,2228029,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 52 11 00 00 A7 FE FF FF AE FE FF FF F8 FE FF FF 8C 85 EB 51 A4
kigyo.dat,1001,2228359,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 52 11 00 00 A7 FE FF FF AE FE FF FF F8 FE FF FF 8C 5C 8F C2 21
kigyo.dat,1001,2230553,00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 BC 8C 00 00 BB 03 00 00 37 03 00 00 E3 01 00 00 88 C3 F5 28 DC
kigyo.dat,1001,2230883,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 04 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,2326734,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 4C 10 03 00 7E 48 00 00 86 46 00 00 DA 27 00 00 89 52 B8 1E 25
kigyo.dat,1001,2327064,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1001,3700926,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 31 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1010,314152,3B 00 00 9B 38 00 00 52 1D 00 00 85 D7 A3 70 3D 7E 00 00 00 00 00 00 06 31 30 31 30 32 38 00 00 00 00 00 00 00 00 00 00 00 00 04 31 31 30 33 00 00 00 86 B1
kigyo.dat,1010,360185,19 00 00 58 18 00 00 75 0C 00 00 8E 9A 99 99 07 43 00 00 00 00 00 00 06 31 30 31 30 32 37 00 00 00 00 00 00 00 00 00 00 00 00 04 31 31 30 33 00 00 00 FE 59
kigyo.dat,1010,535063,00 0C 17 00 00 00 00 00 00 00 00 86 00 00 9A 99 2D 00 00 00 00 00 00 04 31 30 31 30 00 00 00 4B 52 00 00 6D 05 00 00 EB 07 00 00 70 05 00 00 85 85 EB 51 B8
kigyo.dat,1010,535393,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 7E 76 00 00 46 08 00 00 27 0B 00 00 E2 06 00 00 86 CD CC CC CC
kigyo.dat,1010,1018987,00 86 10 00 00 00 00 00 00 00 00 86 00 00 00 00 14 00 00 00 00 00 00 04 31 30 31 30 00 00 00 E2 3B 00 00 73 00 00 00 94 FF FF FF 77 01 00 00 84 29 5C 8F C2
kigyo.dat,1010,1019317,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 CD 40 00 00 CD 00 00 00 A3 00 00 00 B3 01 00 00 85 B8 1E 85 EB
kigyo.dat,1010,1276789,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 30 38 31 30 31 30 00 00 00 00 00 00 00 00 00 00 00 00 02 30 31 30 32 00 00 00 00 00 00 00
kigyo.dat,1010,1435079,00 00 78 03 00 00 26 05 00 00 87 8F C2 F5 28 3F 00 00 00 00 00 00 06 31 31 30 31 30 37 00 00 00 00 00 00 00 00 00 00 00 00 04 31 31 30 32 00 00 00 01 36 00
kigyo.dat,1010,1450239,00 80 16 00 00 00 00 00 00 00 00 86 00 00 CD CC 0C 00 00 00 00 00 00 04 31 30 31 30 00 00 00 0A 45 00 00 F0 03 00 00 FC 03 00 00 27 02 00 00 87 29 5C 8F 42
kigyo.dat,1010,1450569,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 E0 7C 00 00 C5 04 00 00 D9 04 00 00 78 02 00 00 87 29 5C 8F 42
kigyo.dat,1010,1526888,00 00 00 61 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 A1 0A 00 00 FB 01 00 00 F8 01 00 00 27 01 00 00 8E B8 1E 85 30
kigyo.dat,1010,1527218,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1010,1789736,01 00 00 3C 02 00 00 96 02 00 00 86 0A D7 A3 70 0F 00 00 00 00 00 00 06 31 30 31 30 32 39 00 00 00 00 00 00 00 00 00 00 00 00 04 31 31 30 33 00 00 00 1F 71
kigyo.dat,1010,2328490,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1010,2328820,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1010,2426482,00 00 00 16 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 38 01 00 00 D6 FF FF FF 44 00 00 00 4B 00 00 00 8C E1 7A 14 46
kigyo.dat,1010,2426812,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 79 0B 00 00 05 00 00 00 DB FF FF FF D7 FF FF FF 8B 71 3D 0A DF
kigyo.dat,1010,2431293,00 7F 01 00 00 D9 00 00 00 8B 14 AE 47 41 48 89 00 00 00 00 3E 06 30 38 31 30 31 30 00 00 00 00 00 00 00 00 00 00 00 00 04 30 39 30 33 00 00 00 A3 2D 00 00
kigyo.dat,1010,2833356,00 00 0D 01 00 00 2A 01 00 00 8D 8F C2 F5 36 2C 00 00 00 00 00 00 06 31 31 30 31 30 37 00 00 00 00 00 00 00 00 00 00 00 00 04 31 31 30 32 00 00 00 BF 29 00
kigyo.dat,1010,2999125,00 DC 0A 00 00 00 00 00 00 00 00 85 00 00 33 33 77 00 00 00 00 00 00 04 31 30 31 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
kigyo.dat,1010,2999455,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 31 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
