"Category","Count"
"コーポレートアクション候補","3"
"フォルダ","46"
"ログ・キャッシュ・一時","1"
"企業業績・財務関連候補","6"
"旧版・バックアップ候補","3"
"時系列関連候補","116"
"実行資産","35"
"設定・定義候補","2813"
"未分類","11434"
"銘柄マスター・コード候補","19"
