file,record_index,record_offset,record_length,head_64_hex,ascii_digit_hits,cp932_preview
kigyo2.dat,3,990,330,04 31 36 30 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 37 30 33 00 00 00 00,"[[1, ""1603""], [56, ""1703""], [111, ""1803""], [166, ""1903""], [221, ""2003""], [276, ""2103""]]",[]
kigyo2.dat,4,1320,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
kigyo2.dat,10,3300,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
kigyo2.dat,100,33000,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
kigyo2.dat,1000,330000,330,04 31 36 30 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 37 30 33 00 00 00 00,"[[1, ""1603""], [56, ""1703""], [111, ""1803""], [166, ""1903""], [221, ""2003""], [276, ""2103""]]",[]
kigyo2.dat,10461,3452130,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
kigyo3.dat,0,0,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
kigyo3.dat,1,330,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
kigyo3.dat,2,660,330,04 30 39 30 33 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 31 30 30 33 00 00 00 00,"[[1, ""0903""], [56, ""1003""], [111, ""1103""], [166, ""1203""], [221, ""1303""], [276, ""1403""], [312, ""130213""]]",[]
kigyo3.dat,3,990,330,04 31 36 30 33 00 00 00 93 16 03 00 63 0B 00 00 A9 0B 00 00 98 0B 00 00 85 48 E1 7A 14 62 00 00 00 00 00 00 06 31 36 31 31 30 34 00 00 00 00 00 00 00 00 00 00 00 00 04 31 37 30 33 00 00 00 00,"[[1, ""1603""], [37, ""161104""], [56, ""1703""], [111, ""1803""], [166, ""1903""], [221, ""2003""], [276, ""2103""]]",[]
kigyo3.dat,4,1320,330,04 30 35 30 33 00 04 00 3E 54 02 00 4C 0E 00 00 1B 0D 00 00 6C 05 00 00 84 E1 7A 14 AE 4B 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 04 30 36 30 33 00 04 00 43,"[[1, ""0503""], [56, ""0603""], [111, ""0703""], [166, ""0803""], [221, ""0903""], [257, ""090515""], [276, ""1003""], [312, ""110204""]]",[]
kigyo3.dat,10,3300,330,04 30 35 30 33 00 04 00 3E 54 02 00 4C 0E 00 00 1B 0D 00 00 6C 05 00 00 84 E1 7A 14 AE 4B 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 04 30 36 30 33 00 04 00 43,"[[1, ""0503""], [56, ""0603""], [111, ""0703""], [166, ""0803""], [221, ""0903""], [257, ""090515""], [276, ""1003""], [312, ""110204""]]",[]
kigyo3.dat,100,33000,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
kigyo3.dat,1000,330000,330,04 31 36 30 33 00 00 00 7D 83 00 00 53 0A 00 00 E4 0B 00 00 46 08 00 00 87 14 AE 47 61 36 00 00 00 00 00 00 00 31 36 30 2F 33 31 00 00 00 00 00 00 00 00 00 00 00 00 04 31 37 30 33 00 00 00 63,"[[1, ""1603""], [56, ""1703""], [92, ""161031""], [111, ""1803""], [166, ""1903""], [221, ""2003""], [276, ""2103""]]",[]
kigyo3.dat,10461,3452130,330,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,[],[]
