line_no,code,text,encoding
67,1017,"10170,ハウジング・,0,0,0,0,ハウジング・スタッフ,0,0,0,0,1017",cp932
68,1018,"10180,セールスアカ,0,0,0,1,セールスアカデミー,0,0,0,0,482A",cp932
69,1018,"10181,センス・トラ,0,0,0,1,センス・トラスト,0,0,0,0,490A",cp932
70,1018,"10185,ＪＳｅｃｕｒ,0,0,0,1,ＪＳｅｃｕｒｉｔｙ,0,0,0,0,481A",cp932
71,1018,"10188,ニューズドテ,0,0,0,1,ニューズドテック,0,0,0,0,484A",cp932
72,1019,"10194,ローカル,0,0,0,1,ローカル,0,0,0,0,470A",cp932
73,1020,"10201,プラン・ドゥ,0,0,0,1,プラン・ドゥ,0,0,0,0,458A",cp932
74,1020,"10203,バリューソフ,0,0,0,1,バリューソフトホールディングス,0,0,0,0,455A",cp932
75,1020,"10204,ルリアン,0,0,0,1,ルリアン,0,0,0,0,457A",cp932
76,1020,"10205,アイテル,0,0,0,1,アイテル,0,0,0,0,444A",cp932
77,1020,"10206,東洋コーポレ,0,0,0,1,東洋コーポレーション,0,0,0,0,445A",cp932
78,1021,"10211,ジェイウェイ,0,0,0,0,ジェイウェイブ,0,0,0,0,437A",cp932
79,1021,"10212,アクトビ,0,0,0,0,アクトビ,0,0,0,0,439A",cp932
80,1021,"10213,ＬＯＯＰＬＡ,0,0,0,0,ＬＯＯＰＬＡＣＥ,0,0,0,0,434A",cp932
81,1021,"10214,ネクストハン,0,0,0,0,ネクストハンズ,0,0,0,0,430A",cp932
82,1021,"10218,ＭＪＥ,0,0,0,0,ＭＪＥ,0,0,0,0,433A",cp932
83,1021,"10219,ｔａｎｅ　Ｃ,0,0,0,0,ｔａｎｅ　ＣＲＥＡＴＩＶＥ,0,0,0,0,422A",cp932
84,1022,"10221,ウリドキ,0,0,0,0,ウリドキ,0,0,0,0,418A",cp932
85,1022,"10222,クリニファー,0,0,0,0,クリニファー,0,0,0,0,432A",cp932
86,1022,"10225,環境のミカタ,0,0,0,0,環境のミカタホールディングス,0,0,0,0,406A",cp932
87,1301,"1301,極洋,1,1,0,1,極洋,1,0,1,0,1301",cp932
88,1332,"1332,ニッスイ,1,0,1,1,ニッスイ,1,0,1,1,1332",cp932
89,1333,"1333,マルハニチロ,1,0,1,1,マルハニチロ,1,0,1,0,1333",cp932
90,1375,"1375,ユキグニファ,1,1,0,1,ユキグニファクトリー,1,0,1,0,1375",cp932
91,1377,"1377,サカタのタネ,1,1,0,1,サカタのタネ,1,0,1,0,1377",cp932
92,1379,"1379,ホクト,1,1,0,1,ホクト,1,0,1,0,1379",cp932
93,1414,"1414,ショーボンド,1,0,0,1,ショーボンドホールディングス,3,0,3,0,1414",cp932
94,1417,"1417,ミライト・ワ,1,0,0,1,ミライト・ワン,3,0,3,1,1417",cp932
95,1419,"1419,タマホーム,1,0,0,1,タマホーム,3,0,3,0,1419",cp932
96,1429,"1429,日本アクア,1,0,0,1,日本アクア,3,0,3,0,1429",cp932
97,1433,"1433,ベステラ,1,0,0,1,ベステラ,3,0,3,0,1433",cp932
98,1515,"1515,日鉄鉱業,1,0,0,1,日鉄鉱業,2,0,2,0,1515",cp932
99,1518,"1518,三井松島ホー,1,0,0,1,三井松島ホールディングス,18,0,18,0,1518",cp932
100,1605,"1605,ＩＮＰＥＸ,1,0,1,1,ＩＮＰＥＸ,2,0,2,1,1605",cp932
101,1662,"1662,石油資源開発,1,0,0,1,石油資源開発,2,0,2,0,1662",cp932
102,1663,"1663,Ｋ＆Ｏエナジ,1,0,0,1,Ｋ＆Ｏエナジーグループ,2,0,2,0,1663",cp932
103,1719,"1719,安藤・間,1,1,0,1,安藤・間,3,0,3,1,1719",cp932
104,1720,"1720,東急建設,1,0,0,1,東急建設,3,0,3,1,1720",cp932
105,1721,"1721,コムシスホー,1,0,1,1,コムシスホールディングス,3,0,3,1,1721",cp932
106,1726,"1726,ビーアールホ,1,0,0,1,ビーアールホールディングス,3,0,3,0,1726",cp932
107,1762,"1762,高松コンスト,1,0,0,1,高松コンストラクショングループ,3,0,3,0,1762",cp932
108,1766,"1766,東建コーポレ,1,0,0,1,東建コーポレーション,3,0,3,1,1766",cp932
109,1773,"1773,ワイ・ティー,1,0,0,0,ワイ・ティー・エル・コーポレーション・バーハッド,3,0,3,0,1773",cp932
110,1780,"1780,ヤマウラ,1,0,0,1,ヤマウラ,3,0,3,0,1780",cp932
111,1786,"1786,オリエンタル,1,0,0,1,オリエンタル白石,3,0,3,0,1786",cp932
112,1801,"1801,大成建設,1,0,1,1,大成建設,3,0,3,1,1801",cp932
113,1802,"1802,大林組,1,1,1,1,大林組,3,0,3,1,1802",cp932
114,1803,"1803,清水建設,1,0,1,1,清水建設,3,0,3,1,1803",cp932
