file,record_length,record_count,tail,top_code_offsets_first1000,top_date_offsets_first1000,top_text_offsets_first1000
kigyo.dat,823,10462,0,"[[278, 960], [333, 960], [608, 960], [663, 960], [223, 959], [553, 959], [168, 946], [498, 946], [113, 930], [443, 930]]","[[278, 963], [333, 963], [608, 963], [663, 963], [113, 960], [168, 960], [223, 960], [443, 960], [498, 960], [553, 960]]","[[772, 860], [3, 764], [773, 103], [4, 2], [790, 1], [774, 1], [813, 1]]"
kigyo2.dat,330,10462,0,"[[276, 737], [221, 729], [1, 728], [56, 728], [111, 728], [166, 728]]","[[276, 737], [221, 729], [1, 728], [56, 728], [111, 728], [166, 728]]",[]
kigyo3.dat,330,10462,0,"[[276, 906], [221, 813], [166, 812], [111, 810], [56, 806], [1, 792], [190, 10], [25, 9], [245, 7], [135, 7]]","[[111, 958], [166, 958], [221, 958], [276, 958], [1, 919], [56, 919], [92, 457], [37, 416], [147, 270], [202, 153]]",[]
